firstName,lastName,schoolName,imageUrl,playerUrl
Evelyn,Miller,Loyola University Chicago,https://d2h9rpscrkfck0.cloudfront.net/images/2025/12/17/Evelyn_Miller.jpg?width=300,https://loyolaramblers.com/sports/softball/roster/evelyn-miller/3100
Godwin,Edeh,Lycoming College,https://lycomingathletics.com/images/2025/9/2/2025_fb_headshots_edited_edeh_200_9571.jpg?width=300,https://lycomingathletics.com/sports/football/roster/godwin-edeh/23618
Julie,Smith,Indiana University-Purdue University Indianapolis,https://iuindyjags.com/images/2025/8/21/smith-julie-headshot-202526-1.jpg?width=300,https://iuindyjags.com/sports/womens-cross-country/roster/julie-smith/8472
Demetri,Bose,Campbellsville University,https://campbellsvilletigers.com/images/2025/8/19/Demetri_Bose.JPG?width=146,https://campbellsvilletigers.com/sports/football/roster/demetri-bose/20004
Carmello,Bostwick,University of Health Sciences and Pharmacy in St. Louis,https://eutecticsports.com/sports/mbkb/2025-26/bios/Carmello_Bostwick.png?max_width=510&max_height=600,https://eutecticsports.com/sports/mbkb/2025-26/bios/bostwick_carmello_1x2f
TaylorLee,Goebel,University of St. Thomas (Texas),https://ustcelts.com/images/2025/9/20/DSC08437.JPG?width=300,https://ustcelts.com/sports/mens-swimming-and-diving/roster/taylorlee-goebel/2832
Dawson,Debebe,Lycoming College,https://lycomingathletics.com/images/2025/9/2/2025_fb_headshots_edited_debebe_dawson_200_9547.jpg?width=300,https://lycomingathletics.com/sports/football/roster/dawson-debebe/23617
Collin,Stockero,The University of Olivet,https://olivetcomets.com/sports/fball/2025-26/photos/0001/hs_Collin_Stockero.jpg?max_width=510&max_height=600,https://olivetcomets.com/sports/fball/2025-26/bios/stockero_collin_6sq3
Paeton,Kringel,University of Wisconsin-Green Bay,https://greenbayphoenix.com/images/2025/9/5/Paeton_Kringel.JPG?width=100,https://greenbayphoenix.com/sports/softball/roster/paeton-kringel/5070
Isabella,Carlson,Blue Mountain Christian University,https://bmcusports.com/images/2025/10/10/Isabella_Carlson_WBB_Headshot_2025.JPG?width=300,https://bmcusports.com/sports/womens-basketball/roster/isabella-carlson/4020
Lukas,Donahue,Merrimack College,https://merrimackathletics.com/images/2024/8/16/Donahue.png?width=300,https://merrimackathletics.com/sports/football/roster/lukas-donahue/14493
Khalil,Johnson,Lycoming College,https://lycomingathletics.com/images/2025/9/2/2025_fb_headshots_edited_johnson_200_9686.jpg?width=300,https://lycomingathletics.com/sports/football/roster/khalil-johnson/23634
Livi,Grecco,Pepperdine University,https://daitadul56i2n.cloudfront.net/images/2025/10/17/grecco.png?width=300,https://pepperdinewaves.com/sports/track-and-field/roster/livi-grecco/5752
